Key,en,es,ar,fr
Remittance request rejected successfully,Remittance request rejected successfully,Solicitud de remesas rechazada con éxito,تم رفض طلب التحويلات بنجاح,Demande de versement rejeté avec succès
Server Information,Server Information,información del servidor,معلومات الخادم,Informations sur le serveur
Bill Pay Category,Bill Pay Category,Categoría de pago de facturas,فئة دفع الفاتورة,Catégorie de paiement de facture
Category Already Exists!,Category Already Exists!,¡La categoría ya existe!,الفئة موجودة بالفعل!,La catégorie existe déjà!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada con éxito!,تم حفظ الفئة بنجاح!,Catégorie Sauvé avec succès!
Category Updated Successfully!,Category Updated Successfully!,Categoría actualizada con éxito!,تحديث الفئة بنجاح!,Catégorie mise à jour avec succès!
Category record not found in our system.,Category record not found in our system.,Registro de categoría no se encuentra en nuestro sistema.,سجل الفئة غير موجود في نظامنا.,Enregistrement de catégorie introuvable dans notre système.
Category status updated successfully!,Category status updated successfully!,Estado de categoría actualizado con éxito!,تحديث حالة الفئة بنجاح!,Statut de catégorie mis à jour avec succès!
Category deleted successfully!,Category deleted successfully!,Categoría eliminada con éxito!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès!
Bill Pay details for,Bill Pay details for,Detalles de pago de facturas de factura para,تفاصيل دفع الفاتورة ل,Détails de paiement de facture pour
Bill Pay request approved successfully,Bill Pay request approved successfully,Solicitud de pago de factura aprobada correctamente,طلب دفع الفواتير الموافقة بنجاح,Demande de paiement de facture approuvée avec succès
Bill Pay request rejected successfully,Bill Pay request rejected successfully,Solicitud de pago de facturas rechazada con éxito,تم رفض طلب دفع الفاتورة بنجاح,Demande de paiement de facture rejetée avec succès
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut
Basic settings not found!,Basic settings not found!,Configuración básica no encontrada!,الإعدادات الأساسية غير موجودة!,Paramètres de base introuvables!
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡No se encuentran KYC o KYC inválido!,لم يتم العثور على KYC غير صالح أو KYC!,KYC ou KYC invalides non trouvés!
KYC status updated successfully!,KYC status updated successfully!,Estado de KYC actualizado con éxito!,تم تحديث حالة KYC بنجاح!,Le statut KYC a mis à jour avec succès!
Mobile Topup Category,Mobile Topup Category,Categoría de topup móvil,فئة Topup للهاتف المحمول,Catégorie de topup mobile
Mobile Topup details for,Mobile Topup details for,Detalles de topup móvil para,تفاصيل Topup للهاتف المحمول ل,Détails de topup mobile pour
Mobile topup request rejected successfully,Mobile topup request rejected successfully,Solicitud de supervisión móvil rechazada con éxito,تم رفض طلب Topup للهاتف المحمول بنجاح,Demande de finition mobile rejetée avec succès
Page not found!,Page not found!,¡Página no encontrada!,الصفحة غير موجودة!,Page non trouvée!
Setup Page status updated successfully!,Setup Page status updated successfully!,Estado de la página de configuración actualizado correctamente!,تم تحديث حالة صفحة الإعداد بنجاح!,Configurer l'état de la page mis à jour avec succès!
Section updated successfully!,Section updated successfully!,Sección actualizada con éxito!,تم تحديث القسم بنجاح!,Section mise à jour avec succès!
Merchant App Section,Merchant App Section,Sección de aplicaciones comerciales,قسم تطبيق التاجر,Section d'applications marchande
Section item added successfully,Section item added successfully,Artículo de sección agregado correctamente,تم إضافة عنصر القسم بنجاح,L'article de section ajouté avec succès
Section not found!,Section not found!,Sección no encontrada!,القسم لم يتم العثور عليه!,Section introuvable!
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Article de section introuvable!
Section item delete successfully!,Section item delete successfully!,¡El elemento de sección elimina con éxito!,عنصر القسم حذف بنجاح!,Élément de section Supprimer avec succès!
Developer Introduction,Developer Introduction,Introducción al desarrollador,مقدمة المطور,Introduction du développeur
Banner Floating Section,Banner Floating Section,Sección flotante de pancarta,لافتة العائمة قسم,Banner Section flottante
Works Section,Works Section,Sección de obras,قسم الأعمال,Section des travaux
Item added successfully!,Item added successfully!,¡Artículo agregado con éxito!,البند أضيفت بنجاح!,Article ajouté avec succès!
Why Choose Us Section,Why Choose Us Section,Por qué elegir la sección de EE. UU.,لماذا تختار القسم لنا,Pourquoi choisir la section américaine
Item delete successfully!,Item delete successfully!,¡Elemento eliminar con éxito!,العنصر حذف بنجاح!,Article Supprimer avec succès!
Developer FAQ Section,Developer FAQ Section,Sección de preguntas frecuentes para desarrolladores,قسم الأسئلة الشائعة للمطور,Section FAQ du développeur
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة,Section de témoignage
Setup Blog Category,Setup Blog Category,Categoría de blog de configuración,فئة المدونة الإعداد,Configuration de la catégorie de blog
Blog item added successfully!,Blog item added successfully!,¡Artículo del blog agregado con éxito!,تم إضافة عنصر مدونة بنجاح!,L'article de blog a ajouté avec succès!
Blog item updated successfully!,Blog item updated successfully!,¡Artículo de blog actualizado con éxito!,تم تحديث عنصر المدونة بنجاح!,Article de blog mis à jour avec succès!
BLog delete successfully!,BLog delete successfully!,¡Blog Eliminar con éxito!,حذف المدونة بنجاح!,Blog Supprimer avec succès!
Blog record not found in our system.,Blog record not found in our system.,Registro de blog no se encuentra en nuestro sistema.,سجل المدونة غير موجود في نظامنا.,Enregistrement de blog que l'on ne trouve pas dans notre système.
Blog status updated successfully!,Blog status updated successfully!,Estado del blog actualizado con éxito!,تم تحديث حالة المدونة بنجاح!,Statut de blog mis à jour avec succès!
All Ticket,All Ticket,Todo el boleto,كل التذاكر,TOUT TICKET
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet en attente
Active Ticket,Active Ticket,Boleto activo,تذكرة نشطة,Billet actif
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة حل,Billet résolu
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة,Chat d'assistance
This support ticket is closed.,This support ticket is closed.,Este boleto de soporte está cerrado.,تذكرة الدعم هذه مغلقة.,Ce billet d'assistance est fermé.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل في تغيير الحالة إلى نشط!,N'a pas réussi à changer l'état en actif!
This ticket is already solved!,This ticket is already solved!,¡Este boleto ya está resuelto!,تم حل هذه التذكرة بالفعل!,Ce billet est déjà résolu!
Transaction charge not found!,Transaction charge not found!,¡Cargo por transacción no encontrado!,شحنة المعاملة غير موجودة!,Frais de transaction introuvables!
Charge Updated Successfully!,Charge Updated Successfully!,¡Cargo actualizado con éxito!,تم تحديث الرسوم بنجاح!,Chargez à jour avec succès!
Page added successfully!,Page added successfully!,¡Página agregada con éxito!,تمت إضافة الصفحة بنجاح!,Page ajoutée avec succès!
Page updated successfully!,Page updated successfully!,¡Página actualizada con éxito!,تم تحديث الصفحة بنجاح!,Page mise à jour avec succès!
Page record not found in our system.,Page record not found in our system.,Registro de página no se encuentra en nuestro sistema.,سجل الصفحة غير موجود في نظامنا.,Enregistrement de la page introuvable dans notre système.
Page status updated successfully!,Page status updated successfully!,Estado de la página actualizado correctamente!,تم تحديث حالة الصفحة بنجاح!,Statut de page mis à jour avec succès!
Page deleted successfully!,Page deleted successfully!,¡Página eliminada con éxito!,تم حذف الصفحة بنجاح!,Page supprimée avec succès!
Email Unverified Users,Email Unverified Users,Envíe un correo electrónico a usuarios no verificados,بريد إلكتروني لم يتم التحقق من المستخدمين,E-mail des utilisateurs non vérifiés
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,الرسائل القصيرة المستخدمين لم يتم التحقق منها,Utilisateurs SMS non vérifiés
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,kyc المستخدمين غير المؤكدين,Utilisateurs KYC non vérifiés
User Details,User Details,Detalles de usuario,بيانات المستخدم,Coordonnées
Ops! User doesn,Ops! User doesn,¡Ops! El usuario no,العمليات! المستخدم لا,OPS! L'utilisateur ne fait pas
User Email Logs,User Email Logs,Registros de correo electrónico de usuario,سجلات البريد الإلكتروني للمستخدم,Journaux de messagerie
User KYC successfully approved,User KYC successfully approved,El usuario KYC aprobó con éxito,وافق المستخدم KYC بنجاح,L'utilisateur KYC a approuvé avec succès
User KYC information not found,User KYC information not found,Información del usuario de KYC no encontrada,لم يتم العثور على معلومات المستخدم KYC,Informations KYC utilisateur introuvables
User KYC information is rejected,User KYC information is rejected,La información del usuario KYC es rechazada,تم رفض معلومات المستخدم KYC,Les informations de l'utilisateur KYC sont rejetées
User wallet not found!,User wallet not found!,¡Billetera de usuario no encontrada!,محفظة المستخدم لم يتم العثور عليها!,Portefeuille utilisateur introuvable!
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene suficiente equilibrio,المستخدم ليس لديه توازن كاف,L'utilisateur n'a pas suffisamment d'équilibre
Setup Virtual Card Api,Setup Virtual Card Api,Configurar API de tarjeta virtual,إعداد واجهة برمجة تطبيقات البطاقة الافتراضية,Configuration de l'API de la carte virtuelle
Ops! Failed To Upload Image.,Ops! Failed To Upload Image.,¡Ops! No se pudo subir la imagen.,العمليات! فشل في تحميل الصورة.,OPS! Impossible de télécharger l'image.
Card API Has Been Updated.,Card API Has Been Updated.,La API de la tarjeta se ha actualizado.,تم تحديث Card API.,L'API de la carte a été mise à jour.
Basic settings updated successfully!,Basic settings updated successfully!,Configuración básica actualizada con éxito!,الإعدادات الأساسية تحديث بنجاح!,Paramètres de base mis à jour avec succès!
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Configure el campo KYC primero. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer KYC Field. Allez sur la page [Configuration de Kyc] de la barre latérale
Basic settings status updated successfully!,Basic settings status updated successfully!,Estado de configuración básica actualizada correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!,État des paramètres de base mis à jour avec succès!
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,Configuración básica no encontrada! Ejecute un semiller de base de datos,الإعداد الأساسي لم يتم العثور عليه! الرجاء تشغيل قاعدة البيانات بذور,Paramètre de base introuvable! Veuillez exécuter le Seeder de la base de données
No changes to update.,No changes to update.,No hay cambios en la actualización.,لا توجد تغييرات للتحديث.,Aucune modification à mise à jour.
Image assets updated successfully!.,Image assets updated successfully!.,¡Activos de imagen actualizados con éxito!.,تم تحديث أصول الصورة بنجاح!.,Les actifs d'image sont mis à jour avec succès!.
SEO information updated successfully!,SEO information updated successfully!,¡Información de SEO actualizada con éxito!,تم تحديث معلومات كبار المسئولين الاقتصاديين بنجاح!,Informations SEO mises à jour avec succès!
Admin | Login,Admin | Login,Administrador | Acceso,المسؤول | تسجيل الدخول,Admin | Se connecter
sub-title,sub-title,subtitular,العنوان الفرعي,Sous-titre
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta,أدخل عنوان بريدك الإلكتروني أو اسم المستخدم,Entrez l'adresse e-mail de votre compte ou le nom d'utilisateur
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني,Nom d'utilisateur ou adresse e-mail
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
Welcome To,Welcome To,Bienvenido a,مرحبا بك في,Bienvenue à
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة,panneau d'administration
Username,Username,Nombre de usuario,اسم المستخدم,Nom d'utilisateur
Role,Role,Role,دور,Rôle
options,options,opción,خيارات,options
Created Time,Created Time,Tiempo creado,خلق الوقت,Temps créé
Category Name,Category Name,nombre de la categoría,اسم التصنيف,Nom de catégorie
Flag,Flag,Bandera,علَم,Drapeau
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة,Nom | Code
Rate,Rate,Tasa,معدل,Taux
Symbol,Symbol,Símbolo,رمز,Symbole
Receiver,Receiver,Receptor,المتلقي,Destinataire
SL NO,SL NO,SI. NO,SL. لا,SL Non
TXN Type,TXN Type,Tipo TXN,نوع TXN,Type TXN
TXN Hash,TXN Hash,TXN Hash,تجزئة TXN,Hachage txn
Asset,Asset,Activo,أصل,Actif
Chain,Chain,Cadena,سلسلة,Chaîne
Block Number,Block Number,Número de bloque,حجب الرقم,Numéro de bloc
Not Used,Not Used,No utilizado,غير مستعمل,Non utilisé
Used,Used,Usado,مستخدم,Utilisé
Add Language,Add Language,Agregar lenguaje,إضافة لغة,Ajouter la langue
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة,Modifier la langue
Add About,Add About,Agregar,أضف,Ajouter
Add Blog,Add Blog,Agregar blog,أضف مدونة,Ajouter un blog
Add Brand,Add Brand,Agregar marca,إضافة العلامة التجارية,Ajouter la marque
Add Socail Icon,Add Socail Icon,Agregar icono Socail,أضف أيقونة الاجتماع,Ajouter l'icône SOCAIL
Add Solution,Add Solution,Agregar solución,أضف الحل,Ajouter une solution
Add Testimonial,Add Testimonial,Agregar testimonio,إضافة شهادة,Ajouter le témoignage
Add Page,Add Page,Añadir página,إضافة صفحة,Ajouter une page
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول,Ajouter l'administrateur
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول,Image de profil d'administration
Add Country,Add Country,Agregar país,أضف البلد,Ajouter le pays
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add Currency,Add Currency,Agregar moneda,أضف العملة,Ajouter de la monnaie
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة,Ajouter un nouvel écran
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا,Ajouter une nouvelle autorisation
selectRole,selectRole,selectrolo,SelectRole,selectrole
Assign Permission Page/Task,Assign Permission Page/Task,Asignar la página/tarea de permiso,تعيين صفحة/مهمة إذن,Affecter la page / tâche d'autorisation
Edit Permission,Edit Permission,Editar permiso,تحرير إذن,Modifier l'autorisation
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا,Ajouter un nouveau rôle
Edit Role,Edit Role,Rol de edición,تحرير الدور,Modifier le rôle
Rejejct KYC,Rejejct KYC,REJEJCT KYC,Rejejct KYC,REJEJCT KYC
Add New Bank,Add New Bank,Agregar nuevo banco,أضف بنك جديد,Ajouter une nouvelle banque
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة,Ajouter une nouvelle catégorie
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول,Modifier l'administrateur
Edit Bank,Edit Bank,Editar banco,تحرير البنك,Modifier la banque
Edit Category,Edit Category,Editar categoria,تحرير الفئة,Modifier la catégorie
Edit Cash Pickup,Edit Cash Pickup,Editar recogida en efectivo,تحرير الالتقاط النقدي,Modifier le ramassage en espèces
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Modifier la monnaie
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة,Éditer l'écran
Update Extension,Update Extension,Extensión de actualización,تمديد تحديث,Mettre à jour l'extension
Send Email Agent,Send Email Agent,Enviar agente de correo electrónico,إرسال وكيل البريد الإلكتروني,Envoyer un agent de messagerie
Close,Close,Cerca,يغلق,Fermer
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Envoyer le courrier de test
Global Setting for,Global Setting for,Escenario global para,الإعداد العالمي ل,Cadre global pour
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة,Image de passerelle
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Minimum,Minimum,Mínimo,الحد الأدنى,Le minimum
Maximum,Maximum,Máximo,أقصى,Maximum
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Total Supported Currency,Total Supported Currency,Moneda total compatible,إجمالي العملة المدعومة,Devise totale prise en charge
Percent,Percent,Por ciento,نسبه مئويه,Pour cent
Gateway Name*,Gateway Name*,Nombre de la puerta de enlace*,اسم البوابة*,Nom de la passerelle *
Currency Name*,Currency Name*,Nombre de la moneda*,اسم العملة*,Nom de la devise *
Collect Data,Collect Data,Recolectar datos,اجمع بيانات,Collecter des données
Field Name*,Field Name*,Nombre del campo*,اسم الحقل*,Nom de domaine*
Field Types*,Field Types*,Tipos de campo*,أنواع الحقول*,Types de champs *
Field Necessity*,Field Necessity*,Necesidad de campo*,ضرورة الحقل*,Nécessité du champ *
publisher-input message-input message-input-event,publisher-input message-input message-input-event,Evento de entrada de mensaje de entrada de mensaje de entrada del editor-entrada,الناشر مدخلات الالتقاء-إدخال رسالة-إدخال-حدث,éditeur-entrée de message-intrigue-message-entrée-événement
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este boleto está resuelto, no puede enviar un mensaje en este momento.",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن.,"Ce billet est résolu, vous ne pouvez pas envoyer de message maintenant."
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة,Billets en attente
View All,View All,Ver todo,عرض الكل,Voir tout
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة,Billets actifs
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر,Billets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
action,action,acción,فعل,action
Mark as Solved,Mark as Solved,Marca como se resuelve,علامة كما تم حلها,Marquez comme résolu
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails du support
Description,Description,Descripción,وصف,Description
Attachments,Attachments,Archivos adjuntos,المرفقات,Attachements
form-control,form-control,control de forma,السيطرة على النماذج,contrôler le formulaire
Charges,Charges,Cargos,رسوم,Des charges
Fixed Charge*,Fixed Charge*,Cargo fijo*,شحنة ثابتة*,Charge fixe *
Percent Charge*,Percent Charge*,Porcentaje de carga*,تكلفة النسبة المئوية*,Pourcentage de charge *
Range,Range,Rango,يتراوح,Gamme
Agent Profits,Agent Profits,Ganancias de agente,أرباح الوكيل,Bénéfices de l'agent
Fixed Commissions,Fixed Commissions,Comisiones fijas,عمولات ثابتة,Commissions fixes
Percent Commissions,Percent Commissions,Porcentaje de comisiones,عمولات في المئة,Pour cent commissions
Admin,Admin,Administración,مسؤل,Administrer
Developed by,Developed by,Desarrollado por,طورت بواسطة,Développé par
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode sombre
Light Mode,Light Mode,Modo de luz,وضع الضوء,Mode léger
Direction,Direction,Dirección,اتجاه,Direction
Reset To Default,Reset To Default,Restablecen a los predeterminados,إعادة تعيين إلى الافتراضي,Réinitialiser à la valeur par défaut
search,search,buscar,يبحث,recherche
Clear All,Clear All,Limpiar todo,امسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée!
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول,Profil d'administration
Date,Date,Fecha,تاريخ,Date
TRX ID,TRX ID,TRX ID,TRX ID,ID TRX
Fullname,Fullname,Nombre completo,الاسم الكامل,Nom et prénom
Method,Method,Método,طريقة,Méthode
After Charge,After Charge,Después de la carga,بعد تهمة,Après frais
Payable,Payable,Pagadero,مستحق الدفع,Payable
Information of Logs,Information of Logs,Información de los registros,معلومات السجلات,Informations sur les journaux
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد,Confirmation approuvée
Are you sure to approved this request?,Are you sure to approved this request?,¿Seguro que aprobará esta solicitud?,هل أنت متأكد من وافق على هذا الطلب؟,Êtes-vous sûr d'approuver cette demande?
Approved,Approved,Aprobado,موافقة,Approuvé
Rejection Confirmation,Rejection Confirmation,Confirmación de rechazo,تأكيد الرفض,Confirmation de rejet
Explain Rejection Reason*,Explain Rejection Reason*,Explicar la razón de rechazo*,شرح سبب الرفض*,Expliquez la raison du rejet *
Export Data,Export Data,Exportar datos,بيانات التصدير,Exporter des données
TRX,TRX,TRX,TRX,Trx
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Time,Time,Tiempo,وقت,Temps
URI,URI,Uri,أوري,Uri
Role Name,Role Name,Nombre de rol,اسم الدور,Nom de rôle
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف,Tous les rôles d'administration
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Write Subject...,Write Subject...,Escribir sujeto ...,اكتب الموضوع ...,Écrire le sujet ...
Total Add Money,Total Add Money,Total Agregar dinero,إجمالي إضافة المال,Total Ajouter de l'argent
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Agent Overview,Agent Overview,Descripción general del agente,نظرة عامة على الوكيل,Aperçu de l'agent
Add/Subtract Balance,Add/Subtract Balance,Balance de suma/resta,إضافة/طرح التوازن,Ajouter / soustraire l'équilibre
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connexion en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de messagerie
Last Login,Last Login,Último acceso,آخر تسجيل دخول,Dernière connexion
Information of Agent,Information of Agent,Información del agente,معلومات الوكيل,Informations sur l'agent
Write Here..,Write Here..,Escribe aquí..,اكتب هنا..,Écrivez ici..
Agent Status,Agent Status,Estado del agente,حالة الوكيل,État de l'agent
Verified,Verified,Verificado,تم التحقق,Vérifié
2FA Verification,2FA Verification,VERIFICACIÓN 2FA,2FA التحقق,Vérification 2FA
Select Type,Select Type,Seleccione tipo,اختر صنف,Sélectionner le genre
Balance Add,Balance Add,Balance Agregar,إضافة التوازن,Équilibre ajouter
subtract,subtract,sustraer,طرح او خصم,soustraire
Balance Subtract,Balance Subtract,Balance Restar,توازن طرح,Équilibrez
User Wallet,User Wallet,Billetera del usuario,محفظة المستخدم,Portefeuille d'utilisateurs
Select Agent Wallet,Select Agent Wallet,Seleccionar billetera de agente,حدد وكيل المحفظة,Sélectionner le portefeuille d'agent
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين,Sélectionner les utilisateurs
email_verified,email_verified,Correo Electrónico Verificado,البريد الإلكتروني,Email verifié
banned,banned,prohibido,محظور,banni
All Agent,All Agent,Todo agente,كل وكيل,Tout agent
Edit KYC,Edit KYC,Editar kyc,تحرير KYC,Modifier KYC
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
KYC Information not submitted yet,KYC Information not submitted yet,Información de KYC aún no se ha enviado,معلومات KYC لم يتم تقديمها بعد,KYC Informations non soumises
Agent Login Logs,Agent Login Logs,Registros de inicio de sesión del agente,سجلات تسجيل الدخول وكيل,Journaux de connexion de l'agent
SL.,SL.,Sl.,SL.,Sl.
IP,IP,IP,IP,IP
MAC,MAC,MAC,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | Sistema operativo,متصفح | نظام التشغيل,Navigateur | OS
Login at,Login at,Iniciar sesión en,تسجيل الدخول في,Se connecter à
Agent Email Logs,Agent Email Logs,Registros de correo electrónico del agente,سجلات البريد الإلكتروني للوكيل,Journaux de messagerie d'agent
Agent,Agent,Agente,عامل,Agent
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Message,Message,Mensaje,رسالة,Message
Onboard Settings,Onboard Settings,Configuración a bordo,إعدادات على متن الطائرة,Paramètres intégrés
Active Onboards (USER),Active Onboards (USER),Onboards activos (usuario),onboards النشط (المستخدم),Onboards actif (utilisateur)
Active Onboards (Agent),Active Onboards (Agent),Onboards activas (agente),onboards النشط (وكيل),ONBORES ACTIVES (AGENT)
Active Onboards (Merchant),Active Onboards (Merchant),Onboards activos (comerciante),onboards النشط (التاجر),Onboards actifs (marchand)
Image (User),Image (User),Imagen (usuario),الصورة (المستخدم),Image (utilisateur)
App Version* (User),App Version* (User),Versión de la aplicación* (usuario),إصدار التطبيق* (المستخدم),Version de l'application * (utilisateur)
Image (Agent):,Image (Agent):,Imagen (agente):,الصورة (وكيل):,Image (agent):
App Version* (Agent),App Version* (Agent),Versión de la aplicación* (agente),إصدار التطبيق* (وكيل),Version de l'application * (agent)
Image (Merchant),Image (Merchant),Imagen (comerciante),الصورة (تاجر),Image (marchand)
App Version* (Merchant),App Version* (Merchant),Versión de la aplicación* (comerciante),إصدار التطبيق* (التاجر),Version de l'application * (marchand)
Android App URL*,Android App URL*,URL de la aplicación Android*,Android App URL*,URL de l'application Android *
iOS App URL,iOS App URL,URL de la aplicación iOS,IOS APP URL,URL de l'application iOS
Setup Bill Category,Setup Bill Category,Categoría de factura de configuración,فئة فاتورة الإعداد,Catégorie de facture de configuration
Bill Categories,Bill Categories,Categorías de facturas,فئات مشروع القانون,Catégories de factures
Add Category,Add Category,añadir categoría,إضافة فئة,ajouter une catégorie
admin.components.page-title,admin.components.page-title,admin.components.page-title,admin.components.page-title,admin.components.page-title
Bill Amount,Bill Amount,Total de la factura,مبلغ فاتورة,Montant de la facture
Payable Amount,Payable Amount,Cantidad a pagar,مبلغ مستحق الدفع,Montant payable
Remaining Balance,Remaining Balance,Balance restante,الرصيد المتبقي,Solde restant
Setup Category Type,Setup Category Type,Tipo de categoría de configuración,نوع فئة الإعداد,Type de catégorie de configuration
Policy Link*,Policy Link*,Enlace de política*,رابط السياسة*,Lien de politique *
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Billeteras criptográficas,محافظ التشفير,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar billeteras,توليد محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,Billetera no presente en alguna moneda/moneda.,محفظة غير موجودة في بعض العملة/العملة.,Portefeuille non présent dans une monnaie / pièce.
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón Generar billeteras para crear billeteras dinámicas.,انقر فوق زر إنشاء المحافظ لإنشاء محافظ ديناميكية.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles dynamiquement.
Add Wallet,Add Wallet,Agregar billetera,أضف محفظة,Ajouter le portefeuille
Deactive,Deactive,Desactivo,إلهي,Désagréable
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está bajo mantenimiento o necesita generar billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,هذه العملة تحت الصيانة أو الحاجة إلى إنشاء محفظة. يمكنك إضافة محفظة يدويًا عن طريق النقر فوق زر إضافة.,Cette pièce est sous l'entretien ou doit générer du portefeuille. Vous pouvez ajouter le portefeuille manuellement en cliquant sur le bouton Ajouter.
Add New Wallet,Add New Wallet,Agregar nueva billetera,أضف محفظة جديدة,Ajouter un nouveau portefeuille
Mnemonic,Mnemonic,Mnemotécnico,ذاكري,Mnémonique
Extended Public Key (Xpub),Extended Public Key (Xpub),Clave pública extendida (XPUB),المفتاح العام الموسع (XPUB),Clé public étendu (XPUB)
Private Key,Private Key,Llave privada,مفتاح سري,Clé privée
Public Address,Public Address,Direccion publica,عنوان عام,Adresse publique
Delete Wallet,Delete Wallet,Eliminar la billetera,حذف محفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de supprimer ce portefeuille?
Delete,Delete,Borrar,يمسح,Supprimer
Gateway Edit,Gateway Edit,Puerta de entrada editar,بوابة تحرير,Modifier la passerelle
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacitons,transacitons,Transacitons
